┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 45        │ 0.0083   │ 1.1   │ 132.0        │ 8.95      │ 246        │ 123       │ 12.35   │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 45        │ 0.0083   │ 1.1   │ 132.0        │ 8.95      │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 46        │ 0.0083   │ 1.1   │ 132.0        │ 8.85      │ 246        │ 123       │ 12.35   │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 46        │ 0.0083   │ 1.1   │ 132.0        │ 8.85      │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ EVO Slim                                                │ 6        │ 6    │ 47        │ 0.0083   │ 1.1   │ 132.0        │ 8.8       │ 238        │ 110       │ 11.95   │ (15, 85, 24, 46)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 47        │ 0.0083   │ 1.1   │ 132.0        │ 8.8       │ 246        │ 123       │ 12.35   │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 47        │ 0.0083   │ 1.1   │ 132.0        │ 8.8       │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 47        │ 0.0083   │ 1.1   │ 132.0        │ 8.8       │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 47        │ 0.0083   │ 1.1   │ 132.0        │ 8.8       │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 48        │ 0.0083   │ 1.1   │ 132.0        │ 8.7       │ 237        │ 118       │ 11.9    │ (12, 42, 24, 50)            │
│ EVO Slim                                                │ 6        │ 6    │ 48        │ 0.0083   │ 1.1   │ 132.0        │ 8.7       │ 238        │ 110       │ 11.95   │ (15, 85, 24, 46)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 48        │ 0.0083   │ 1.1   │ 132.0        │ 8.7       │ 246        │ 123       │ 12.35   │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 48        │ 0.0083   │ 1.1   │ 132.0        │ 8.7       │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
