┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0328   │ 3.9   │ 118.95       │ 8.95      │ 258        │ 115       │ 11.25   │ (12, 60, 20, 36, 18, 48)    │
│ VEX 3 CIM Ball Shifter                                  │ 4        │ 4    │ 34        │ 0.0328   │ 3.9   │ 118.95       │ 8.95      │ 258        │ 115       │ 11.25   │ (12, 50, 30, 54, 20, 64)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0328   │ 3.9   │ 118.9        │ 8.95      │ 258        │ 112       │ 11.25   │ (11, 60, 18, 38, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0328   │ 3.9   │ 118.72       │ 8.95      │ 258        │ 115       │ 11.25   │ (8, 62, 22, 34, 22, 44)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0328   │ 3.95  │ 120.32       │ 8.95      │ 258        │ 114       │ 11.1    │ (12, 60, 18, 38, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0329   │ 3.95  │ 120.15       │ 8.95      │ 258        │ 111       │ 11.1    │ (11, 60, 16, 40, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0329   │ 3.95  │ 120.03       │ 8.95      │ 258        │ 114       │ 11.15   │ (8, 62, 28, 28, 16, 50)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 3.9   │ 118.27       │ 8.95      │ 258        │ 116       │ 11.3    │ (11, 60, 16, 40, 24, 42)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 3.9   │ 118.19       │ 8.95      │ 258        │ 116       │ 11.3    │ (8, 62, 26, 30, 18, 48)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 3.9   │ 118.06       │ 8.95      │ 258        │ 116       │ 11.3    │ (14, 58, 16, 40, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 3.95  │ 119.68       │ 8.95      │ 258        │ 115       │ 11.15   │ (12, 60, 22, 34, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 4.0   │ 121.4        │ 8.95      │ 258        │ 113       │ 11.0    │ (9, 62, 24, 32, 18, 48)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.033    │ 4.35  │ 132.0        │ 9.05      │ 250        │ 101       │ 9.8     │ (8, 62, 22, 34, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.033    │ 4.35  │ 132.0        │ 9.05      │ 250        │ 101       │ 9.8     │ (8, 62, 24, 32, 18, 48)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 4.35  │ 132.0        │ 8.95      │ 249        │ 101       │ 9.75    │ (14, 58, 16, 40, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 4.35  │ 132.0        │ 8.95      │ 250        │ 101       │ 9.8     │ (8, 62, 22, 34, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 4.35  │ 132.0        │ 8.95      │ 250        │ 101       │ 9.8     │ (8, 62, 24, 32, 18, 48)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.033    │ 4.35  │ 132.0        │ 8.95      │ 252        │ 102       │ 9.85    │ (14, 58, 18, 38, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0331   │ 3.9   │ 117.79       │ 8.95      │ 258        │ 116       │ 11.35   │ (8, 62, 24, 32, 20, 46)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0331   │ 4.35  │ 131.39       │ 9.05      │ 251        │ 102       │ 9.85    │ (14, 58, 18, 38, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0332   │ 3.8   │ 114.37       │ 8.95      │ 258        │ 120       │ 11.7    │ (10, 60, 16, 40, 26, 40)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0332   │ 3.85  │ 115.84       │ 8.95      │ 258        │ 118       │ 11.55   │ (9, 62, 16, 40, 28, 38)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0332   │ 4.2   │ 126.64       │ 9.05      │ 251        │ 105       │ 10.25   │ (11, 60, 22, 34, 16, 50)    │
