Name,Motors,WheelSize,CurrLim,TTG/TractForce,TTG,TractForce,MinVolt,PushCurr,TurnCurr,MaxSpd,Stages,Ratio
[Swerve] Custom,4,4,48,0.0318,2.96,93,9.52,154,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,46,0.0323,3.11,96,9.64,148,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,48,0.0331,2.86,86,9.52,154,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,48,0.0331,2.86,86,9.52,154,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,46,0.0335,2.98,89,9.64,148,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,44,0.0341,3.14,92,9.76,141,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,46,0.035,2.89,83,9.64,148,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,46,0.035,2.89,83,9.64,148,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,44,0.0354,3.01,85,9.76,141,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,42,0.036,3.16,88,9.88,135,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,44,0.037,2.92,79,9.76,141,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,44,0.037,2.92,79,9.76,141,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,42,0.0375,3.04,81,9.88,135,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,40,0.0382,3.19,83,10.0,128,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,42,0.0394,2.96,75,9.88,135,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,42,0.0394,2.96,75,9.88,135,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,40,0.04,3.08,77,10.0,128,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,38,0.0407,3.22,79,10.12,122,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,40,0.042,3.0,71,10.0,128,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,40,0.042,3.0,71,10.0,128,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,38,0.0427,3.12,73,10.12,122,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,36,0.0436,3.26,75,10.24,116,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,38,0.045,3.05,68,10.12,122,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,38,0.045,3.05,68,10.12,122,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,36,0.0458,3.16,69,10.24,116,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,34,0.047,3.31,70,10.36,109,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] SDS MK4i Very Fast Gearing,4,4,36,0.0484,3.1,64,10.24,116,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,36,0.0484,3.1,64,10.24,116,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,34,0.0496,3.22,65,10.36,109,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,32,0.0509,3.36,66,10.48,103,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,34,0.0524,3.16,60,10.36,109,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,34,0.0524,3.16,60,10.36,109,136,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,32,0.0538,3.28,61,10.48,103,127,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,30,0.0556,3.43,62,10.6,96,118,15.02,(12: 50: 28: 16: 15: 45),7.14
[Swerve] Custom,4,4,32,0.0572,3.24,57,10.48,103,128,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,32,0.0572,3.24,57,10.48,103,128,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] Custom,4,4,30,0.059,3.36,57,10.6,96,120,16.27,(13: 50: 28: 16: 15: 45),6.59
[Swerve] Custom,4,4,30,0.0628,3.32,53,10.6,96,120,17.52,(14: 50: 28: 16: 15: 45),6.12
[Swerve] SDS MK4i Very Fast Gearing,4,4,30,0.0628,3.32,53,10.6,96,120,17.52,(14: 50: 28: 16: 15: 45),6.12
