┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━┳━
┃ Name                                                     ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test  ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr   ┃ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.15  │ 126.73       │ 8.3       │ 294        │ 150        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.15  │ 126.61       │ 8.3       │ 294        │ 150        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 132.0        │ 8.3       │ 294        │ 144        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 291        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 291        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 291        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 292        │ 159        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 294        │ 144        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 295        │ 160        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 296        │ 145        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.2   │ 132.0        │ 8.25      │ 297        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.2   │ 131.79       │ 8.3       │ 294        │ 160        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 131.13       │ 8.3       │ 294        │ 145        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 130.91       │ 8.3       │ 294        │ 146        │ 
│ WCP SS Gearbox                                           │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 130.59       │ 8.3       │ 294        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 130.51       │ 8.3       │ 294        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 130.01       │ 8.3       │ 294        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 129.5        │ 8.3       │ 294        │ 147        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.2   │ 129.5        │ 8.3       │ 294        │ 163        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 129.47       │ 8.3       │ 294        │ 147        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.2   │ 129.47       │ 8.3       │ 294        │ 163        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 129.27       │ 8.3       │ 294        │ 147        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.2   │ 129.18       │ 8.3       │ 294        │ 147        │ 
│ WCP SS Gearbox                                           │ 6        │ 6    │ 52        │ 0.02  │ 3.2   │ 128.05       │ 8.4       │ 289        │ 146        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 286        │ 156        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 287        │ 141        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 287        │ 141        │ 
│ WCP SS Gearbox                                           │ 6        │ 4    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 287        │ 156        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 289        │ 157        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 291        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 291        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 291        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.25  │ 132.0        │ 8.3       │ 292        │ 159        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 284        │ 139        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 284        │ 139        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 285        │ 140        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 285        │ 155        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 286        │ 156        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 287        │ 141        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 287        │ 141        │ 
│ WCP SS Gearbox                                           │ 6        │ 4    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 287        │ 156        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.25  │ 132.0        │ 8.25      │ 289        │ 157        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.25  │ 131.07       │ 8.4       │ 289        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.25  │ 130.83       │ 8.4       │ 289        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.25  │ 130.8        │ 8.4       │ 289        │ 143        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 52        │ 0.02  │ 3.25  │ 130.38       │ 8.4       │ 289        │ 159        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 284        │ 139        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 284        │ 139        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 285        │ 140        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 285        │ 155        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 286        │ 156        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 287        │ 141        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 287        │ 141        │ 
│ WCP SS Gearbox                                           │ 6        │ 4    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 287        │ 156        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 52        │ 0.02  │ 3.3   │ 132.0        │ 8.4       │ 289        │ 157        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 280        │ 138        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 280        │ 138        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 282        │ 153        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 282        │ 153        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 284        │ 139        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 284        │ 139        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 285        │ 140        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 53        │ 0.02  │ 3.3   │ 132.0        │ 8.3       │ 285        │ 155        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.3   │ 132.0        │ 8.25      │ 279        │ 137        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.3   │ 132.0        │ 8.25      │ 279        │ 152        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.3   │ 132.0        │ 8.25      │ 280        │ 138        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.02  │ 3.3   │ 132.0        │ 8.25      │ 280        │ 138        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.3   │ 132.0        │ 8.25      │ 282        │ 153        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.02  │ 3.3   │ 132.0        │ 8.25      │ 282        │ 153        │ 
│ EVO Slim                                                 │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 98.82        │ 8.25      │ 300        │ 214        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 98.55        │ 8.25      │ 300        │ 194        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 98.17        │ 8.25      │ 300        │ 216        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 98.13        │ 8.25      │ 300        │ 216        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 97.79        │ 8.25      │ 300        │ 195        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 97.79        │ 8.25      │ 300        │ 195        │ 
│ VEX Single Speed, Single Reduction Gearbox               │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 96.64        │ 8.25      │ 300        │ 197        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 96.45        │ 8.25      │ 300        │ 198        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 95.58        │ 8.25      │ 300        │ 200        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 94.76        │ 8.25      │ 300        │ 201        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 93.92        │ 8.25      │ 300        │ 203        │ 
│ WCP SS Gearbox                                           │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 93.7         │ 8.25      │ 300        │ 226        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 93.68        │ 8.25      │ 300        │ 203        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 93.02        │ 8.25      │ 300        │ 227        │ 
│ WCP DS Gearbox                                           │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 92.92        │ 8.25      │ 300        │ 205        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 92.32        │ 8.25      │ 300        │ 206        │ 
